CustomerID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_SCORE,Segment
12539.0,21,4,1140.19,4,4,5,445,Loyal_Customers
12540.0,19,17,1838.8900000000003,4,5,5,455,Loyal_Customers
12541.0,29,3,188.02,4,3,4,434,Potential_Loyalists
12544.0,35,1,78.02000000000001,3,1,2,312,About_to_Sleep
12545.0,74,2,201.19,2,2,4,224,Hibernating
12546.0,46,2,220.75,3,2,4,324,About_to_Sleep
12547.0,197,2,63.6,1,2,2,122,Hibernating
12548.0,165,1,33.6,2,1,1,211,Hibernating
12550.0,78,1,176.15,2,1,3,213,Hibernating
12551.0,357,1,16.8,1,1,1,111,Hibernating
12552.0,38,2,182.31,3,2,4,324,About_to_Sleep
12553.0,7,10,611.1299999999999,5,5,5,555,Best Customers
12556.0,49,2,322.14,3,2,4,324,About_to_Sleep
12557.0,15,5,71.83000000000001,4,4,2,442,Loyal_Customers
12558.0,7,1,13.75,5,1,1,511,New_Customers
12559.0,310,2,74.53,1,2,2,122,Hibernating
12560.0,4,3,299.91,5,3,4,534,Potential_Loyalists
12561.0,302,1,47.43,1,1,2,112,Hibernating
12562.0,7,7,535.62,5,5,5,555,Best Customers
12564.0,260,1,117.10000000000001,1,1,3,113,Hibernating
12565.0,288,1,21.16,1,1,1,111,Hibernating
12566.0,85,1,74.17,2,1,2,212,Hibernating
12567.0,22,10,1520.18,4,5,5,455,Loyal_Customers
12569.0,1,32,1021.7000000000002,5,5,5,555,Best Customers
12571.0,39,2,44.89999999999999,3,2,2,322,About_to_Sleep
12572.0,8,2,253.66999999999996,5,2,4,524,Potential_Loyalists
12573.0,226,1,58.70000000000001,1,1,2,112,Hibernating
12574.0,315,1,57.2,1,1,2,112,Hibernating
12576.0,35,5,211.59999999999997,3,4,4,344,Loyal_Customers
12577.0,34,3,263.86999999999995,3,3,4,334,Need_Attention
12578.0,20,2,359.9,4,2,5,425,Potential_Loyalists
12579.0,77,1,96.82,2,1,3,213,Hibernating
12580.0,246,1,62.58000000000001,1,1,2,112,Hibernating
12581.0,39,1,43.39,3,1,2,312,About_to_Sleep
12582.0,238,2,115.10000000000001,1,2,3,123,Hibernating
12583.0,2,15,766.5899999999999,5,5,5,555,Best Customers
12584.0,3,9,718.5000000000001,5,5,5,555,Best Customers
12585.0,233,2,301.3599999999999,1,2,4,124,Hibernating
12586.0,16,1,46.1,4,1,2,412,Promising
12587.0,7,1,46.24,5,1,2,512,New_Customers
12588.0,38,1,95.8,3,1,3,313,About_to_Sleep
12589.0,28,2,157.6,4,2,3,423,Potential_Loyalists
12590.0,210,2,717.22,1,2,5,125,Hibernating
12591.0,316,1,98.3,1,1,3,113,Hibernating
12592.0,91,2,59.6,2,2,2,222,Hibernating
12593.0,108,3,55.7,2,3,2,232,At_Risk
12594.0,37,10,356.73,3,5,4,354,Loyal_Customers
12596.0,50,2,118.95000000000002,3,2,3,323,About_to_Sleep
12597.0,18,4,812.0699999999999,4,4,5,445,Loyal_Customers
12598.0,9,8,375.22,5,5,5,555,Best Customers
12599.0,28,7,185.76999999999998,4,5,4,454,Loyal_Customers
12600.0,28,10,350.32000000000005,4,5,4,454,Loyal_Customers
12601.0,189,5,182.31,1,4,4,144,At_Risk
12602.0,58,1,23.65,3,1,1,311,About_to_Sleep
12603.0,21,1,28.95,4,1,1,411,Promising
12604.0,78,2,41.46,2,2,2,222,Hibernating
12607.0,59,1,217.92999999999998,3,1,4,314,About_to_Sleep
12609.0,77,3,211.07,2,3,4,234,At_Risk
12610.0,22,5,532.6199999999999,4,4,5,445,Loyal_Customers
12611.0,51,1,173.88,3,1,3,313,About_to_Sleep
12612.0,73,1,84.34,2,1,2,212,Hibernating
12613.0,56,5,439.51,3,4,5,345,Loyal_Customers
12614.0,277,1,112.19999999999999,1,1,3,113,Hibernating
12615.0,1,4,324.41,5,4,4,544,Best Customers
12616.0,94,2,122.25,2,2,3,223,Hibernating
12617.0,28,1,79.92999999999999,4,1,2,412,Promising
12618.0,21,1,73.02,4,1,2,412,Promising
12619.0,15,9,635.09,4,5,5,455,Loyal_Customers
12620.0,14,3,197.6,4,3,4,434,Potential_Loyalists
12621.0,1,20,1350.7,5,5,5,555,Best Customers
12622.0,231,1,63.13,1,1,2,112,Hibernating
12623.0,275,1,47.31999999999999,1,1,2,112,Hibernating
12624.0,105,2,147.14000000000001,2,2,3,223,Hibernating
12625.0,211,2,186.74000000000004,1,2,4,124,Hibernating
12626.0,22,9,829.39,4,5,5,455,Loyal_Customers
12627.0,10,7,675.7199999999999,5,5,5,555,Best Customers
12628.0,3,3,147.24,5,3,3,533,Potential_Loyalists
12630.0,9,2,287.13,5,2,4,524,Potential_Loyalists
12631.0,56,1,140.65000000000003,3,1,3,313,About_to_Sleep
12633.0,58,4,324.3499999999999,3,4,4,344,Loyal_Customers
12635.0,89,2,254.73000000000002,2,2,4,224,Hibernating
12637.0,66,8,1036.74,3,5,5,355,Loyal_Customers
12638.0,32,1,99.84,4,1,3,413,Promising
12639.0,238,1,108.2,1,1,3,113,Hibernating
12640.0,23,3,303.0,4,3,4,434,Potential_Loyalists
12641.0,114,1,69.64999999999999,2,1,2,212,Hibernating
12642.0,24,3,168.75999999999996,4,3,3,433,Potential_Loyalists
12643.0,127,6,124.51,2,5,3,253,Cant_Lose
12644.0,129,1,86.94000000000003,2,1,2,212,Hibernating
12645.0,33,4,190.60999999999999,3,4,4,344,Loyal_Customers
12646.0,4,2,107.42,5,2,3,523,Potential_Loyalists
12647.0,21,12,665.3600000000001,4,5,5,455,Loyal_Customers
12648.0,154,1,66.62,2,1,2,212,Hibernating
12649.0,106,3,83.61,2,3,2,232,At_Risk
12650.0,2,1,38.69,5,1,1,511,New_Customers
12651.0,334,1,20.2,1,1,1,111,Hibernating
12652.0,330,1,139.07,1,1,3,113,Hibernating
12653.0,148,2,111.40999999999998,2,2,3,223,Hibernating
12654.0,10,5,167.98000000000002,5,4,3,543,Best Customers
12656.0,16,5,560.63,4,4,5,445,Loyal_Customers
12657.0,10,4,237.10999999999996,5,4,4,544,Best Customers
12658.0,18,1,148.12,4,1,3,413,Promising
12659.0,29,1,26.54,4,1,1,411,Promising
12660.0,10,1,50.25,5,1,2,512,New_Customers
12662.0,0,11,737.49,5,5,5,555,Best Customers
12664.0,7,9,410.14,5,5,5,555,Best Customers
12665.0,324,1,20.5,1,1,1,111,Hibernating
12667.0,57,1,119.60000000000001,3,1,3,313,About_to_Sleep
12668.0,11,4,556.82,5,4,5,545,Best Customers
12669.0,150,3,1387.8799999999999,2,3,5,235,At_Risk
12670.0,9,5,297.69999999999993,5,4,4,544,Best Customers
12672.0,329,1,37.900000000000006,1,1,1,111,Hibernating
12673.0,4,2,122.99000000000001,5,2,3,523,Potential_Loyalists
12674.0,38,4,268.14,3,4,4,344,Loyal_Customers
12676.0,24,6,316.2699999999999,4,5,4,454,Loyal_Customers
12678.0,41,12,1081.52,3,5,5,355,Loyal_Customers
12679.0,58,4,192.2,3,4,4,344,Loyal_Customers
12680.0,0,4,189.17,5,4,4,544,Best Customers
12681.0,14,22,2011.56,4,5,5,455,Loyal_Customers
12682.0,3,31,1968.83,5,5,5,555,Best Customers
12683.0,3,15,935.3900000000001,5,5,5,555,Best Customers
12684.0,7,7,266.28000000000003,5,5,4,554,Best Customers
12685.0,27,6,482.15,4,5,5,455,Loyal_Customers
12686.0,371,1,22.810000000000002,1,1,1,111,Hibernating
12688.0,113,1,705.3299999999999,2,1,5,215,Hibernating
12689.0,25,2,205.34,4,2,4,424,Potential_Loyalists
12690.0,205,1,88.43,1,1,2,112,Hibernating
12691.0,27,6,161.14999999999998,4,5,3,453,Loyal_Customers
12693.0,126,4,212.17,2,4,4,244,At_Risk
12694.0,69,2,144.35999999999999,3,2,3,323,About_to_Sleep
12695.0,6,4,129.20999999999998,5,4,3,543,Best Customers
12697.0,28,3,206.13,4,3,4,434,Potential_Loyalists
12700.0,7,4,702.13,5,4,5,545,Best Customers
12701.0,79,2,163.81,2,2,3,223,Hibernating
12702.0,19,1,65.30000000000001,4,1,2,412,Promising
12703.0,70,1,55.400000000000006,3,1,2,312,About_to_Sleep
12704.0,6,8,565.7,5,5,5,555,Best Customers
12705.0,14,9,955.5799999999999,4,5,5,455,Loyal_Customers
12707.0,291,1,106.80999999999999,1,1,3,113,Hibernating
12708.0,29,10,677.6800000000001,4,5,5,455,Loyal_Customers
12709.0,14,15,691.4100000000001,4,5,5,455,Loyal_Customers
12710.0,96,3,209.32000000000002,2,3,4,234,At_Risk
12712.0,28,13,848.5300000000001,4,5,5,455,Loyal_Customers
12713.0,0,1,95.13,5,1,3,513,New_Customers
12714.0,8,5,619.5,5,4,5,545,Best Customers
12715.0,105,1,71.44,2,1,2,212,Hibernating
12716.0,3,2,183.93999999999997,5,2,4,524,Potential_Loyalists
12717.0,150,2,256.85,2,2,4,224,Hibernating
12718.0,70,1,51.72,3,1,2,312,About_to_Sleep
12719.0,4,2,142.15000000000003,5,2,3,523,Potential_Loyalists
12720.0,2,25,956.3599999999999,5,5,5,555,Best Customers
12721.0,31,6,494.23,4,5,5,455,Loyal_Customers
12722.0,84,4,191.87,2,4,4,244,At_Risk
12723.0,3,5,220.96,5,4,4,544,Best Customers
12724.0,4,4,197.22000000000006,5,4,4,544,Best Customers
12725.0,370,1,98.50000000000001,1,1,3,113,Hibernating
12726.0,27,7,261.23,4,5,4,454,Loyal_Customers
12727.0,10,7,447.17999999999995,5,5,5,555,Best Customers
12728.0,70,4,214.78999999999996,3,4,4,344,Loyal_Customers
12729.0,113,1,96.24000000000001,2,1,3,213,Hibernating
12731.0,23,12,916.85,4,5,5,455,Loyal_Customers
12732.0,179,1,42.27,1,1,2,112,Hibernating
12733.0,233,1,74.2,1,1,2,112,Hibernating
12734.0,352,1,4.74,1,1,1,111,Hibernating
12735.0,314,2,232.89999999999998,1,2,4,124,Hibernating
12736.0,332,1,22.32,1,1,1,111,Hibernating
12738.0,371,1,43.45,1,1,2,112,Hibernating
12739.0,77,2,152.32,2,2,3,223,Hibernating
12740.0,63,1,55.99999999999999,3,1,2,312,About_to_Sleep
12743.0,133,2,407.16999999999996,2,2,5,225,Hibernating
12744.0,51,7,12949.99,3,5,5,355,Loyal_Customers
12747.0,1,11,449.88999999999993,5,5,5,555,Best Customers
12748.0,0,210,12205.599999999999,5,5,5,555,Best Customers
12749.0,3,5,994.9899999999999,5,4,5,545,Best Customers
12750.0,128,1,69.3,2,1,2,212,Hibernating
12752.0,80,1,121.59,2,1,3,213,Hibernating
12753.0,22,6,460.4599999999999,4,5,5,455,Loyal_Customers
12754.0,235,3,70.88,1,3,2,132,At_Risk
12755.0,280,2,20.099999999999998,1,2,1,121,Hibernating
12756.0,86,1,2.97,2,1,1,211,Hibernating
12757.0,15,13,4419.59,4,5,5,455,Loyal_Customers
12758.0,116,2,164.96,2,2,3,223,Hibernating
12759.0,51,3,305.47,3,3,4,334,Need_Attention
12762.0,7,2,188.79000000000002,5,2,4,524,Potential_Loyalists
12763.0,137,2,31.889999999999997,2,2,1,221,Hibernating
12764.0,316,1,242.43999999999997,1,1,4,114,Hibernating
12766.0,3,7,951.95,5,5,5,555,Best Customers
12769.0,238,1,142.60000000000002,1,1,3,113,Hibernating
12770.0,210,1,31.499999999999996,1,1,1,111,Hibernating
12772.0,59,1,203.54000000000002,3,1,4,314,About_to_Sleep
12775.0,16,5,256.12,4,4,4,444,Loyal_Customers
12778.0,19,6,175.47,4,5,3,453,Loyal_Customers
12779.0,37,8,544.5,3,5,5,355,Loyal_Customers
12781.0,63,2,78.27,3,2,2,322,About_to_Sleep
12782.0,4,5,391.96000000000004,5,4,5,545,Best Customers
12783.0,1,6,1027.1999999999998,5,5,5,555,Best Customers
12784.0,8,2,165.29,5,2,3,523,Potential_Loyalists
12785.0,363,1,67.6,1,1,2,112,Hibernating
12787.0,9,3,79.96000000000001,5,3,2,532,Potential_Loyalists
12789.0,64,1,91.85000000000001,3,1,2,312,About_to_Sleep
12790.0,191,1,82.92,1,1,2,112,Hibernating
12791.0,373,1,16.85,1,1,1,111,Hibernating
12792.0,256,1,87.74,1,1,2,112,Hibernating
12793.0,334,2,93.84,1,2,3,123,Hibernating
12794.0,52,2,93.47000000000003,3,2,3,323,About_to_Sleep
12795.0,18,1,107.73,4,1,3,413,Promising
12797.0,365,1,66.87,1,1,2,112,Hibernating
12798.0,9,3,8.379999999999999,5,3,1,531,Potential_Loyalists
12802.0,186,1,63.0,1,1,2,112,Hibernating
12808.0,36,3,113.29,3,3,3,333,Need_Attention
12809.0,177,1,110.22999999999999,2,1,3,213,Hibernating
12811.0,260,3,127.80000000000001,1,3,3,133,At_Risk
12812.0,44,1,31.03,3,1,1,311,About_to_Sleep
12814.0,101,1,41.79,2,1,2,212,Hibernating
12815.0,147,2,253.86999999999998,2,2,4,224,Hibernating
12816.0,95,2,256.15,2,2,4,224,Hibernating
12817.0,280,1,48.29,1,1,2,112,Hibernating
12818.0,261,1,94.57000000000001,1,1,3,113,Hibernating
12820.0,2,4,112.38000000000001,5,4,3,543,Best Customers
12821.0,213,1,14.99,1,1,1,111,Hibernating
12822.0,70,2,123.85999999999999,3,2,3,323,About_to_Sleep
12823.0,74,5,38.25,2,4,1,241,At_Risk
12824.0,59,1,63.39,3,1,2,312,About_to_Sleep
12826.0,2,7,175.42000000000004,5,5,3,553,Best Customers
12827.0,5,3,71.7,5,3,2,532,Potential_Loyalists
12828.0,2,6,173.04000000000002,5,5,3,553,Best Customers
12829.0,336,2,114.05,1,2,3,123,Hibernating
12830.0,37,6,41.279999999999994,3,5,2,352,Loyal_Customers
12831.0,261,1,27.599999999999998,1,1,1,111,Hibernating
12832.0,31,2,79.08000000000001,4,2,2,422,Potential_Loyalists
12833.0,144,1,130.58999999999997,2,1,3,213,Hibernating
12834.0,282,1,88.09,1,1,2,112,Hibernating
12836.0,58,4,750.3699999999999,3,4,5,345,Loyal_Customers
12837.0,172,1,80.95000000000002,2,1,2,212,Hibernating
12838.0,33,2,285.3299999999999,3,2,4,324,About_to_Sleep
12839.0,2,14,602.95,5,5,5,555,Best Customers
12840.0,143,4,230.00999999999996,2,4,4,244,At_Risk
12841.0,4,25,1005.97,5,5,5,555,Best Customers
12842.0,69,2,147.22999999999996,3,2,3,323,About_to_Sleep
12843.0,65,8,361.8599999999999,3,5,5,355,Loyal_Customers
12844.0,28,2,136.82,4,2,3,423,Potential_Loyalists
12845.0,266,4,75.33999999999999,1,4,2,142,At_Risk
12847.0,21,1,121.87,4,1,3,413,Promising
12849.0,30,2,147.61999999999998,4,2,3,423,Potential_Loyalists
12851.0,96,1,97.33000000000001,2,1,3,213,Hibernating
12852.0,294,1,62.05,1,1,2,112,Hibernating
12853.0,134,6,331.53999999999996,2,5,4,254,Cant_Lose
12854.0,78,3,305.21,2,3,4,234,At_Risk
12855.0,372,1,4.65,1,1,1,111,Hibernating
12856.0,7,6,798.63,5,5,5,555,Best Customers
12857.0,210,2,190.54999999999995,1,2,4,124,Hibernating
12863.0,51,1,16.869999999999997,3,1,1,311,About_to_Sleep
12864.0,137,1,1.9699999999999998,2,1,1,211,Hibernating
12865.0,25,2,296.32,4,2,4,424,Potential_Loyalists
12866.0,282,1,114.81,1,1,3,113,Hibernating
12867.0,25,7,716.26,4,5,5,455,Loyal_Customers
12868.0,185,6,279.45,1,5,4,154,Cant_Lose
12871.0,83,2,23.22,2,2,1,221,Hibernating
12872.0,326,2,164.70999999999998,1,2,3,123,Hibernating
12873.0,281,1,16.150000000000002,1,1,1,111,Hibernating
12875.0,142,2,0.34,2,2,1,221,Hibernating
12876.0,57,2,191.63000000000008,3,2,4,324,About_to_Sleep
12877.0,3,12,292.42999999999995,5,5,4,554,Best Customers
12878.0,235,2,95.53,1,2,3,123,Hibernating
12879.0,44,3,18.32,3,3,1,331,Need_Attention
12881.0,275,1,230.79999999999998,1,1,4,114,Hibernating
12882.0,8,2,83.69,5,2,2,522,Potential_Loyalists
12883.0,24,4,248.92999999999998,4,4,4,444,Loyal_Customers
12884.0,87,1,111.89,2,1,3,213,Hibernating
12885.0,62,3,255.11,3,3,4,334,Need_Attention
12886.0,67,2,305.0899999999999,3,2,4,324,About_to_Sleep
12888.0,213,2,29.48,1,2,1,121,Hibernating
12890.0,23,1,148.66,4,1,3,413,Promising
12891.0,185,3,1.1,1,3,1,131,At_Risk
12893.0,30,1,75.16999999999999,4,1,2,412,Promising
12895.0,41,2,70.9,3,2,2,322,About_to_Sleep
12897.0,204,2,10.8,1,2,1,121,Hibernating
12901.0,8,28,170.09999999999997,5,5,3,553,Best Customers
12902.0,264,1,56.19,1,1,2,112,Hibernating
12904.0,17,2,222.12,4,2,4,424,Potential_Loyalists
12906.0,11,5,160.76999999999995,5,4,3,543,Best Customers
12908.0,175,2,1.25,2,2,1,221,Hibernating
12909.0,39,5,615.5200000000001,3,4,5,345,Loyal_Customers
12910.0,22,8,156.95999999999998,4,5,3,453,Loyal_Customers
12912.0,2,5,65.26,5,4,2,542,Best Customers
12913.0,4,5,146.23999999999998,5,4,3,543,Best Customers
12915.0,148,2,149.35,2,2,3,223,Hibernating
12916.0,138,4,441.55000000000007,2,4,5,245,At_Risk
12917.0,127,1,9.9,2,1,1,211,Hibernating
12919.0,7,6,130.21999999999997,5,5,3,553,Best Customers
12920.0,16,1,107.55000000000001,4,1,3,413,Promising
12921.0,8,37,1684.9399999999998,5,5,5,555,Best Customers
12922.0,160,1,45.57999999999999,2,1,2,212,Hibernating
12923.0,63,1,85.16000000000001,3,1,2,312,About_to_Sleep
12924.0,87,4,95.65,2,4,3,243,At_Risk
12925.0,4,2,103.96000000000001,5,2,3,523,Potential_Loyalists
12928.0,34,5,163.17999999999998,3,4,3,343,Loyal_Customers
12929.0,311,1,56.95,1,1,2,112,Hibernating
12930.0,77,2,74.86999999999999,2,2,2,222,Hibernating
12931.0,21,15,139.54,4,5,3,453,Loyal_Customers
12933.0,23,3,280.58,4,3,4,434,Potential_Loyalists
12935.0,1,7,262.17,5,5,4,554,Best Customers
12936.0,16,4,126.06,4,4,3,443,Loyal_Customers
12937.0,14,4,284.6,4,4,4,444,Loyal_Customers
12938.0,25,1,11.44,4,1,1,411,Promising
12939.0,63,8,112.96000000000001,3,5,3,353,Loyal_Customers
12940.0,54,2,378.25,3,2,5,325,About_to_Sleep
12942.0,130,3,310.34,2,3,4,234,At_Risk
